feature	metadata	value	coef	stderr	N	N.not.0	pval	qval
X769ab7d7ef77529507c37685ef3417c1	Env.feature..abbreviation.	SRF	0.00317385874787221	0.00275005557397992	321	2	0.249320143735181	0.534842453878643
X6ffc41f59d945b26556648314286ff02	Env.feature..abbreviation.	SRF	-0.00767537441102506	0.00784327223886991	321	8	0.328522473137106	0.534842453878643
X4ec389a3e41486e7a2df714acf6d3a7c	Env.feature..abbreviation.	SRF	-0.00239279194663804	0.00194708682883492	321	1	0.220011802181832	0.534842453878643
bc652fd398a0438f04d0ec8709ea82b9	Env.feature..abbreviation.	SRF	0.00634771749574442	0.00386875018001281	321	4	0.101831376520354	0.534842453878643
X3ef2fd2dcdaca26a11f69fd095310382	Env.feature..abbreviation.	SRF	0.00284698054278561	0.00349773822512849	321	1	0.416281318782373	0.534842453878643
X5e91f622408daee7b48c93631158bd92	Env.feature..abbreviation.	SRF	-0.00239279194663804	0.00194708682883492	321	1	0.220011802181833	0.534842453878643
b9e157006c8b6294a559445f2a96b726	Env.feature..abbreviation.	SRF	0.0015869293739361	0.00194966683065719	321	1	0.416281318782373	0.534842453878643
X775b2bffe4bd0793462881521754a24e	Env.feature..abbreviation.	SRF	0.0015869293739361	0.00194966683065719	321	1	0.416281318782372	0.534842453878643
cecc33b499e40a59024c6b6bdc441448	Env.feature..abbreviation.	SRF	-0.00541156695146564	0.00563686803165047	321	4	0.337766794694083	0.534842453878643
X624819d4372ae0a7e1ce3f2dd3bce9b3	Env.feature..abbreviation.	SRF	-0.00239279194663803	0.00194708682883492	321	1	0.220011802181833	0.534842453878643
X3eb9abfaea8b4582a3cc79ddead459c4	Env.feature..abbreviation.	SRF	0.0015869293739361	0.00194966683065719	321	1	0.416281318782372	0.534842453878643
d958b9dbf64915aa698f14105d44b13d	Env.feature..abbreviation.	SRF	0.00317385874787221	0.00275005557397992	321	2	0.24932014373518	0.534842453878643
X481075c3491f433e46c7c1f125746035	Env.feature..abbreviation.	SRF	0.0015869293739361	0.00194966683065719	321	1	0.416281318782373	0.534842453878643
X7679d1bf1d2e5bb7e3fc7393d6498cfa	Env.feature..abbreviation.	SRF	0.0015869293739361	0.00194966683065719	321	1	0.416281318782372	0.534842453878643
c9a5c4738f4b24e121925b941150b11a	Env.feature..abbreviation.	SRF	0.0015869293739361	0.00194966683065719	321	1	0.416281318782373	0.534842453878643
fefe825cb7ffc0737165fdc7c3590d88	Env.feature..abbreviation.	SRF	-0.00239279194663804	0.00194708682883492	321	1	0.220011802181832	0.534842453878643
e9631f20eef544ba497a32e3571ce157	Env.feature..abbreviation.	SRF	0.0015869293739361	0.00194966683065719	321	1	0.416281318782373	0.534842453878643
X31e0a333d5596a5cab852fb67a5bbc40	Env.feature..abbreviation.	SRF	-0.00239279194663803	0.00194708682883492	321	1	0.220011802181833	0.534842453878643
X9f15c49e14a7293ad3acf1a1338df113	Env.feature..abbreviation.	SRF	-0.00934962572479121	0.00537665013515246	321	2	0.0830115442617706	0.534842453878643
X57626ed12a21b8f7def1896e3a12c019	Env.feature..abbreviation.	SRF	0.00386936804235426	0.00340698296432404	321	2	0.256927617979702	0.534842453878643
X245847bcef32037de8ff36393c8fe385	Env.feature..abbreviation.	SRF	0.0015869293739361	0.00194966683065719	321	1	0.416281318782372	0.534842453878643
b2af119627d427c1413426c443525fb0	Env.feature..abbreviation.	SRF	0.00386936804235422	0.00340698296432404	321	2	0.256927617979707	0.534842453878643
X72b306eab127e2ab2f873d1656c52d44	Env.feature..abbreviation.	SRF	0.00317385874787223	0.00275005557397992	321	2	0.249320143735178	0.534842453878643
X65a08af6fb275f029f3281bfef01c6eb	Env.feature..abbreviation.	SRF	0.00317385874787221	0.00275005557397992	321	2	0.249320143735181	0.534842453878643
dfa684741eb5e6b9fb129710c94bce9d	Env.feature..abbreviation.	SRF	0.00284698054278562	0.00349773822512849	321	1	0.416281318782372	0.534842453878643
f74db088ba2bc99ad7f420ac06c34e26	Env.feature..abbreviation.	SRF	0.00383357914185873	0.00470985175417277	321	1	0.416281318782374	0.534842453878643
X0cf1b1305f23c030d66a1b9166c48a98	Env.feature..abbreviation.	SRF	0.0015869293739361	0.00194966683065719	321	1	0.416281318782373	0.534842453878643
X4f23b52566f61c590314bc9f9f19e61b	Env.feature..abbreviation.	SRF	0.0015869293739361	0.00194966683065719	321	1	0.416281318782372	0.534842453878643
X4e25ad2740ab07a3785d14d6469f9a42	Env.feature..abbreviation.	SRF	0.00602083929065779	0.00443338550252581	321	3	0.1754018287166	0.534842453878643
dad0c6466977ce1c2a11184cd2773e8f	Env.feature..abbreviation.	SRF	0.0015869293739361	0.00194966683065719	321	1	0.416281318782372	0.534842453878643
X917f1bfcc44ca26856ca8f0cff37ed92	Env.feature..abbreviation.	SRF	-0.00239279194663804	0.00194708682883492	321	1	0.220011802181832	0.534842453878643
X75f18b79444011195edf7c4ffcb46034	Env.feature..abbreviation.	SRF	0.0015869293739361	0.00194966683065719	321	1	0.416281318782372	0.534842453878643
X8bfe69bb139c685311c20fa9de09c6b0	Env.feature..abbreviation.	SRF	0.00386936804235423	0.00340698296432404	321	2	0.256927617979706	0.534842453878643
cf1ee1a5569ea288189b2628a0bdac04	Env.feature..abbreviation.	SRF	0.00317385874787221	0.00275005557397992	321	2	0.24932014373518	0.534842453878643
dc3edd6a1ae9ada4d1e8b007763658ec	Env.feature..abbreviation.	SRF	0.0015869293739361	0.00194966683065719	321	1	0.416281318782373	0.534842453878643
b587faf0da7a8439e782d7e706a25115	Env.feature..abbreviation.	SRF	-0.00478558389327608	0.00274273424410902	321	2	0.0819788127459302	0.534842453878643
ccb910ba359682271d4db26cc7b95d60	Env.feature..abbreviation.	SRF	0.0015869293739361	0.00194966683065719	321	1	0.416281318782373	0.534842453878643
d148a5ad2751388c08b29379a2ef8dd3	Env.feature..abbreviation.	SRF	0.0046504348435884	0.00477162390676988	321	5	0.33049611274611	0.534842453878643
X1c30330f4d91421c4a2833ab2c725c46	Env.feature..abbreviation.	SRF	-0.00239279194663804	0.00194708682883492	321	1	0.220011802181832	0.534842453878643
X58ddb8378a8b2b3f5b1121864b060b9f	Env.feature..abbreviation.	SRF	-0.00344148955472417	0.00280044363781458	321	1	0.220011802181836	0.534842453878643
c724d7aa736af6e3e635bb16a0bff4b6	Env.feature..abbreviation.	SRF	-0.00478558389327608	0.00274273424410902	321	2	0.0819788127459302	0.534842453878643
X7a4ee0bd56566dde8c0040d16808c247	Env.feature..abbreviation.	SRF	-0.00239279194663804	0.00194708682883492	321	1	0.220011802181833	0.534842453878643
X0da482204d65bfa420bebac66d447e50	Env.feature..abbreviation.	SRF	0.0015869293739361	0.00194966683065719	321	1	0.416281318782373	0.534842453878643
X3c9a63b3cf194b0cd315acc54fa25287	Env.feature..abbreviation.	SRF	0.00386936804235423	0.00340698296432404	321	2	0.256927617979706	0.534842453878643
X6ffaeb1945b1408c8dfe564f759ba639	Env.feature..abbreviation.	SRF	-0.00239279194663804	0.00194708682883492	321	1	0.220011802181833	0.534842453878643
a884951a0222a7aef65d0976f02c5230	Env.feature..abbreviation.	SRF	0.00611601781027686	0.0054688582789006	321	2	0.264265230607409	0.534842453878643
f266fe04289d683d8f65d5e3b68cd622	Env.feature..abbreviation.	SRF	0.0015869293739361	0.00194966683065719	321	1	0.416281318782373	0.534842453878643
X55bac3c9e7327e2cd7ae3f873c80ac21	Env.feature..abbreviation.	SRF	0.0015869293739361	0.00194966683065719	321	1	0.416281318782373	0.534842453878643
X92bb310f1e3e3a924c9ebc439260ca10	Env.feature..abbreviation.	SRF	0.0015869293739361	0.00194966683065719	321	1	0.416281318782372	0.534842453878643
X6a4be0b97590662b351550da777d6f1e	Env.feature..abbreviation.	SRF	-0.00239279194663804	0.00194708682883492	321	1	0.220011802181832	0.534842453878643
X8f3b47e0f10e71b9185d4ed7ebcb09f4	Env.feature..abbreviation.	SRF	-0.00239279194663803	0.00194708682883492	321	1	0.220011802181833	0.534842453878643
cf48476f65d127b20bc0c8d3cb46c0bc	Env.feature..abbreviation.	SRF	0.00317385874787222	0.00275005557397992	321	2	0.249320143735179	0.534842453878643
X9a117d476abc87f3b1a41e2f95e31e7b	Env.feature..abbreviation.	SRF	-0.00239279194663804	0.00194708682883492	321	1	0.220011802181832	0.534842453878643
X007234f0c3f22dd76c35f6fc3c5f4f9c	Env.feature..abbreviation.	SRF	0.00494073687660787	0.00454921279673398	321	2	0.278270626162531	0.534842453878643
